calcimycin,d03.633.100.221.173
whey,g07.203.300.350.525.760
whey,j02.200.700.750
whey,j02.500.350.525.760
whey proteins,d12.776.256.626.816
whey proteins,g07.203.300.350.525.520.500
whey proteins,g07.203.300.350.525.760.500
whey proteins,g07.203.300.428.626.500
whey proteins,j02.500.350.525.520.500
whey proteins,j02.500.350.525.760.500
whey proteins,j02.500.428.626.500
hoarding disorder,f03.080.600.250
poly(adp-ribose) polymerase inhibitors,d27.505.519.389.739
poly(adp-ribose) polymerase inhibitors,d27.505.954.248.692
autism spectrum disorder,f03.625.164.113
celf proteins,d12.776.157.725.813.250
celf proteins,d12.776.664.962.813.250
celf1 protein,d12.776.157.725.813.250.500
celf1 protein,d12.776.664.962.813.250.500
industrial development,i01.261.262.500
industrial development,j01.576.519
cloud computing,l01.224.097
natural resources,g16.500.275.553
natural resources,j01.728
natural resources,n06.230.350
glycemic load,g07.203.650.660.750
glycemic load,j01.576.423.850.730.750.750
glycemic load,n06.850.601.750.750
adenylyl cyclase inhibitors,d27.505.519.389.108
raw 264.7 cells,a11.251.210.172.875
raw 264.7 cells,a11.733.397.815
accreditation,n03.706.110.070
accreditation,n05.700.200.100
clostridiales,b03.353.625
graphic novels,v02.700.415
south sudan,z01.058.290.120.745
motor disorders,f03.608
maternal health,n01.400.900.500
seed bank,n02.278.065.650
trauma and stressor related disorders,f03.950
maternal-child health services,n02.421.143.130.660
maternal-child health services,n02.421.143.620.275
serine-arginine splicing factors,d12.776.157.725.829.500
serine-arginine splicing factors,d12.776.664.962.829.500
infant health,n01.400.388
bipolar and related disorders,f03.084
gender dysphoria,f03.835.550
formative feedback,f02.784.629.529.223
aripiprazole,d03.383.606.170
aripiprazole,d03.633.100.810.835.122
prunus dulcis,b01.650.940.800.575.912.250.859.937.500.625.500
albumin-bound paclitaxel,d02.455.426.392.368.242.888.777.500
albumin-bound paclitaxel,d02.455.849.291.850.777.500
albumin-bound paclitaxel,d12.776.034.073
child protective services,i01.409.418.500
child protective services,n03.540.400.500
social workers,m01.526.919
prunus africana,b01.650.940.800.575.912.250.859.937.500.625.250
prunus armeniaca,b01.650.940.800.575.912.250.859.937.500.625.375
prunus avium,b01.650.940.800.575.912.250.859.937.500.625.400
refugium,g16.500.275.683
refugium,g16.500.819
distance counseling,f02.784.176.350
distance counseling,f04.408.413.437
distance counseling,n02.421.143.303.175
distance counseling,n02.421.461.363.437
distance counseling,n04.452.758.849.550.500
lubiprostone,d10.251.355.325.050.500
prunus persica,b01.650.940.800.575.912.250.859.937.500.625.750
data anonymization,h01.770.644.205
data anonymization,l01.224.134.500
data anonymization,n03.706.437.650.124.160
data anonymization,n04.452.910.200.500
personally identifiable information,i01.880.604.583.080.660
prunus domestica,b01.650.940.800.575.912.250.859.937.500.625.450
darbepoetin alfa,d12.776.395.240.150.500
"efavirenz, emtricitabine, tenofovir disoproxil fumarate drug combination",d02.705.429.906.125
"efavirenz, emtricitabine, tenofovir disoproxil fumarate drug combination",d03.383.533.375
"efavirenz, emtricitabine, tenofovir disoproxil fumarate drug combination",d03.383.742.680.245.500.600.125
"efavirenz, emtricitabine, tenofovir disoproxil fumarate drug combination",d03.633.100.759.138.881.125
"efavirenz, emtricitabine, tenofovir disoproxil fumarate drug combination",d26.310.375
bevacizumab,d12.776.124.486.485.114.224.060.375
bevacizumab,d12.776.124.790.651.114.224.060.438
bevacizumab,d12.776.377.715.548.114.224.200.438
giraffes,b01.050.150.900.649.313.500.380.443
risedronic acid,d02.705.429.500.872
risedronic acid,d03.383.725.836
fluticasone-salmeterol drug combination,d02.033.100.291.057.750.500
fluticasone-salmeterol drug combination,d02.092.063.291.057.750.500
fluticasone-salmeterol drug combination,d02.092.471.683.061.750.500
fluticasone-salmeterol drug combination,d04.210.500.054.079.129.114.500
fluticasone-salmeterol drug combination,d26.310.438
fluticasone,d04.210.500.054.079.129.114
salmeterol xinafoate,d02.033.100.291.057.750
salmeterol xinafoate,d02.092.063.291.057.750
salmeterol xinafoate,d02.092.471.683.061.750
"parks, recreational",j03.925.680
warfare and armed conflicts,i01.880.735.950
armed conflicts,i01.880.735.950.250
everolimus,d02.540.505.760.500
"aspirin, dipyridamole drug combination",d02.455.426.559.389.657.410.595.176.500
"aspirin, dipyridamole drug combination",d03.383.742.175.500
"aspirin, dipyridamole drug combination",d26.310.125
self-control,f01.145.813.595
saline waters,g16.500.275.725
compassion fatigue,c23.888.369.500.500
compassion fatigue,f01.145.126.937.500
compassion fatigue,f01.145.126.990.734.500
compassion fatigue,f02.830.900.666.750
plantaginaceae,b01.650.940.800.575.912.250.583.700
lamiales,b01.650.940.800.575.912.250.583
clinical study,v03.175
surgical clearance,e01.370.505
pemetrexed,d03.633.100.759.758.399.454.650
pemetrexed,d12.125.067.625.525
pemetrexed,d12.125.119.409.525
brimonidine tartrate,d03.633.100.857.070
clinical studies as topic,e05.318.372.250
clinical studies as topic,n05.715.360.330.250
clinical studies as topic,n06.850.520.450.250
beijing,z01.252.474.164.225
beijing,z01.433.114
african union,i01.615.500.125
african union,n03.540.089
firmicutes,b03.353
dutasteride,d04.210.500.925.100.125
calceolariaceae,b01.650.940.800.575.912.250.583.190
interferon beta-1a,d12.644.276.374.440.890.275.500
interferon beta-1a,d12.776.467.374.440.890.275.500
interferon beta-1a,d23.529.374.440.890.275.500
olmesartan medoxomil,d03.383.129.308.674
olmesartan medoxomil,d03.383.129.617.584
"amlodipine besylate, olmesartan medoxomil drug combination",d03.383.129.308.674.500
"amlodipine besylate, olmesartan medoxomil drug combination",d03.383.129.617.584.500
"amlodipine besylate, olmesartan medoxomil drug combination",d03.383.725.203.065.500
"amlodipine besylate, olmesartan medoxomil drug combination",d26.310.063
interferon beta-1b,d12.644.276.374.440.890.275.750
interferon beta-1b,d12.776.467.374.440.890.275.750
interferon beta-1b,d23.529.374.440.890.275.750
nebivolol,d02.033.100.291.491
nebivolol,d02.092.063.291.503
nebivolol,d03.383.663.283.755
nebivolol,d03.633.100.150.755
celecoxib,d02.065.884.247
celecoxib,d02.886.590.700.247
celecoxib,d03.383.129.539.160
varenicline,d03.633.100.079.900
varenicline,d03.633.100.857.942
tadalafil,d03.383.725.150.500
tadalafil,d03.633.100.473.155.500
tadalafil,d03.633.300.154.672
certolizumab pegol,d05.750.741.125
certolizumab pegol,d12.644.541.500.650.250
certolizumab pegol,d12.776.124.486.485.114.224.060.500
certolizumab pegol,d12.776.124.486.485.680.650.250
certolizumab pegol,d12.776.124.790.651.114.224.060.500
certolizumab pegol,d12.776.124.790.651.680.650.250
certolizumab pegol,d12.776.377.715.548.114.224.200.500
certolizumab pegol,d12.776.377.715.548.680.650.250
"censorship, research",i01.880.604.238
"censorship, research",k01.752.566.479.173.200
"censorship, research",n05.350.670.250
data accuracy,e05.318.308.028
data accuracy,e05.318.370.725.250
data accuracy,l01.399.250.202
data accuracy,n05.715.360.300.202
data accuracy,n05.715.360.325.685.250
"brimonidine tartrate, timolol maleate drug combination",d02.033.100.624.915.500
"brimonidine tartrate, timolol maleate drug combination",d02.033.755.624.915.500
"brimonidine tartrate, timolol maleate drug combination",d02.092.063.624.915.500
"brimonidine tartrate, timolol maleate drug combination",d02.886.675.867.768.500
"brimonidine tartrate, timolol maleate drug combination",d03.383.129.708.867.768.500
"brimonidine tartrate, timolol maleate drug combination",d03.633.100.857.070.500
"brimonidine tartrate, timolol maleate drug combination",d26.310.312
"albuterol, ipratropium drug combination",d02.033.100.291.057.125
"albuterol, ipratropium drug combination",d02.092.063.291.057.125
"albuterol, ipratropium drug combination",d02.092.471.683.061.125
"albuterol, ipratropium drug combination",d02.145.074.722.229.400.500
"albuterol, ipratropium drug combination",d03.132.760.180.572.400.500
"albuterol, ipratropium drug combination",d03.132.889.180.648.400.500
"albuterol, ipratropium drug combination",d03.605.084.500.722.229.400.500
"albuterol, ipratropium drug combination",d03.605.869.229.400.500
"albuterol, ipratropium drug combination",d26.310.344
dual use research,h01.770.644.217
professionalism,k01.752.566.479.171.566
professionalism,n05.350.340.581
genetic background,g05.346
selective breeding,e05.820.150.760
selective breeding,g05.090.701
legendary creatures,i01.076.201.450.515.500
mometasone furoate,d04.210.500.745.432.719.526
fallopia multiflora,b01.650.940.800.575.912.250.825.359.590
sildenafil citrate,d02.065.884.675
sildenafil citrate,d02.886.590.700.675
sildenafil citrate,d03.383.606.854
sildenafil citrate,d03.633.100.759.824
"emtricitabine, rilpivirine, tenofovir drug combination",d02.626.809.500
"emtricitabine, rilpivirine, tenofovir drug combination",d02.705.429.906.500
"emtricitabine, rilpivirine, tenofovir drug combination",d03.383.742.680.245.500.600.500
"emtricitabine, rilpivirine, tenofovir drug combination",d03.383.742.755.500
"emtricitabine, rilpivirine, tenofovir drug combination",d03.633.100.759.138.881.500
"emtricitabine, rilpivirine, tenofovir drug combination",d26.310.407
emtricitabine,d03.383.742.680.245.500.600
emtricitabine,d13.570.230.329.525
emtricitabine,d13.570.685.245.500.600
rilpivirine,d02.626.809
rilpivirine,d03.383.742.755
tenofovir,d02.705.429.906
tenofovir,d03.633.100.759.138.881
glatiramer acetate,d12.644.219
rosuvastatin calcium,d02.065.884.650
rosuvastatin calcium,d02.455.526.510.432.500
rosuvastatin calcium,d02.886.590.700.650
rosuvastatin calcium,d03.383.742.775
duloxetine hydrochloride,d02.886.778.260
duloxetine hydrochloride,d03.383.903.260
tolterodine tartrate,d02.033.100.624.706.750
tolterodine tartrate,d02.033.755.624.706.750
tolterodine tartrate,d02.092.063.624.706.800
tolterodine tartrate,d02.455.426.559.389.115.900
tolterodine tartrate,d02.455.426.559.389.657.239.756
valsartan,d03.383.129.617.850
valsartan,d12.125.070.950.550
valsartan,d12.125.142.930.500
ononis,b01.650.940.800.575.912.250.401.604
"mometasone furoate, formoterol fumarate drug combination",d02.033.100.291.425.500
"mometasone furoate, formoterol fumarate drug combination",d02.092.063.291.425.500
"mometasone furoate, formoterol fumarate drug combination",d04.210.500.745.432.719.526.500
"mometasone furoate, formoterol fumarate drug combination",d26.310.469
formoterol fumarate,d02.033.100.291.425
formoterol fumarate,d02.092.063.291.425
serotonin and noradrenaline reuptake inhibitors,d27.505.519.562.437.693
serotonin and noradrenaline reuptake inhibitors,d27.505.519.625.600.693
serotonin and noradrenaline reuptake inhibitors,d27.505.696.577.600.693
"sleep aids, pharmaceutical",d27.505.696.277.350.500
"sleep aids, pharmaceutical",d27.505.954.427.210.350.500
orexin receptor antagonists,d27.505.519.625.663
orexin receptor antagonists,d27.505.696.277.350.500.500
orexin receptor antagonists,d27.505.696.577.663
orexin receptor antagonists,d27.505.954.427.210.350.500.500
orexins,d12.644.400.360
orexins,d12.776.631.650.363
hoodia,b01.650.940.800.575.912.250.456.500.389
prasugrel hydrochloride,d02.886.778.600
prasugrel hydrochloride,d03.383.606.800
prasugrel hydrochloride,d03.383.903.600
etanercept,d12.644.541.500.697.624
etanercept,d12.776.124.486.485.538.500.624
etanercept,d12.776.124.486.485.680.697.624
etanercept,d12.776.124.790.651.538.500.624
etanercept,d12.776.124.790.651.680.660.624
etanercept,d12.776.377.715.548.538.500.624
etanercept,d12.776.377.715.548.680.660.624
etanercept,d12.776.543.750.705.852.760.232
"adapalene, benzoyl peroxide drug combination",d02.241.223.100.133.500
"adapalene, benzoyl peroxide drug combination",d02.455.426.559.389.127.133.500
"adapalene, benzoyl peroxide drug combination",d02.455.426.559.847.638.090.500
"adapalene, benzoyl peroxide drug combination",d04.615.638.090.500
"adapalene, benzoyl peroxide drug combination",d26.310.032
adapalene,d02.455.426.559.847.638.090
adapalene,d04.615.638.090
epoetin alfa,d12.644.276.374.410.240.150.500
epoetin alfa,d12.776.395.240.150.750
epoetin alfa,d12.776.467.374.410.240.150.500
epoetin alfa,d23.529.374.410.240.150.750
cetuximab,d12.776.124.486.485.114.224.060.750
cetuximab,d12.776.124.790.651.114.224.060.750
cetuximab,d12.776.377.715.548.114.224.200.750
hyssopus plant,b01.650.940.800.575.912.250.583.520.330
rivastigmine,d02.241.081.251.583.899
parmeliaceae,b01.300.107.685
parmeliaceae,b01.300.340.458
"amlodipine, valsartan drug combination",d03.383.129.617.850.500
"amlodipine, valsartan drug combination",d03.383.725.203.065.750
"amlodipine, valsartan drug combination",d12.125.070.950.550.500
"amlodipine, valsartan drug combination",d12.125.142.930.500.500
"amlodipine, valsartan drug combination",d26.310.094
eugenia,b01.650.940.800.575.912.250.773.374
"human papillomavirus recombinant vaccine quadrivalent, types 6, 11, 16, 18",d20.215.894.899.498.500
kombucha tea,d20.215.784.844.500
kombucha tea,g07.203.100.831.500
kombucha tea,g07.203.200.625
kombucha tea,j02.200.831.500
kombucha tea,j02.350.625
fingolimod hydrochloride,d02.033.100.700.350
fingolimod hydrochloride,d02.033.455.706.431
fingolimod hydrochloride,d02.092.063.700.350
imatinib mesylate,d02.065.277.456
imatinib mesylate,d02.241.223.100.100.435
imatinib mesylate,d02.455.426.559.389.127.085.465
imatinib mesylate,d03.383.606.405
imatinib mesylate,d03.383.742.349
trastuzumab,d12.776.124.486.485.114.224.060.875
trastuzumab,d12.776.124.790.651.114.224.060.875
trastuzumab,d12.776.377.715.548.114.224.200.875
adalimumab,d12.776.124.486.485.114.224.060.250
adalimumab,d12.776.124.790.651.114.224.060.250
adalimumab,d12.776.377.715.548.114.224.200.250
"isophane insulin, human",d06.472.699.587.200.300.200.500
"isophane insulin, human",d06.472.699.587.200.500.625.500.500
"isophane insulin, human",d12.644.548.586.200.300.200.500
"isophane insulin, human",d12.644.548.586.200.500.625.500.500
"animals, exotic",b01.050.050.126
paliperidone palmitate,d03.383.129.385.650
paliperidone palmitate,d03.383.742.592
immunosenescence,g07.345.124.390
immunosenescence,g12.460.500
canagliflozin,d02.886.778.075
canagliflozin,d03.383.903.075
canagliflozin,d09.408.348.113
iridescence,g01.590.310
raltegravir potassium,d03.383.773.812.752
"sitagliptin phosphate, metformin hydrochloride drug combination",d02.078.370.141.450.500
"sitagliptin phosphate, metformin hydrochloride drug combination",d03.383.129.799.725.500
"sitagliptin phosphate, metformin hydrochloride drug combination",d03.383.679.875.500
"sitagliptin phosphate, metformin hydrochloride drug combination",d26.310.750
sitagliptin phosphate,d03.383.129.799.725
sitagliptin phosphate,d03.383.679.875
spatial regression,e05.318.740.750.862
spatial regression,e05.318.740.933.375
spatial regression,n05.715.360.750.695.825
spatial regression,n05.715.360.750.746.375
spatial regression,n06.850.520.830.750.862
spatial regression,n06.850.520.830.933.375
theranostic nanomedicine,e01.894
theranostic nanomedicine,e02.921
theranostic nanomedicine,h01.603.600.500
theranostic nanomedicine,h02.403.845
theranostic nanomedicine,j01.897.520.600.600.500
cosmeceuticals,d26.074
cosmeceuticals,d27.720.269.285
prisoner dilemma,e05.385.500
"games, recreational",i03.450.642.693.465
return to sport,i03.450.642.845.605
body weight maintenance,g07.345.249.314.120.250
concierge medicine,n04.452.758.708.450.500
smartphone,l01.224.230.260.550.500.500
humidifiers,e07.451
